transaction_id,transaction_type_id,account_id,transaction_date,from_account,to_account,amount_base_curr,amount_usd,currency_code,currency_rate,notes,load_date,load_id
4VQ217909T6193490W,101,103,2016-09-01,1640-7041-491,8876-8024-429,960065,960065,USD,1,This was a credit card statement repayment,2017-03-01,0
6PG024642R9567017Y,101,103,2016-10-01,1640-7041-491,1624-0742-062,468928,468928,USD,1,This was a credit card statement repayment,2017-03-01,0
9IN997143I8390047K,101,103,2016-11-01,1640-7041-491,5814-8777-951,883872,883872,USD,1,This was a credit card statement repayment,2017-03-01,0
5JT041233O9958460O,101,103,2016-12-01,1640-7041-491,6988-3552-298,908683,908683,USD,1,This was a credit card statement repayment,2017-03-01,0
8HL564062W6870686B,101,103,2017-01-01,1640-7041-491,5950-8732-002,868876,868876,USD,1,This was a credit card statement repayment,2017-03-01,0
2HD393594Q8958841N,101,103,2017-02-01,1640-7041-491,9328-2377-226,99355,99355,USD,1,This was a credit card statement repayment,2017-03-01,0
9RL355316F6988350M,101,103,2017-03-01,1640-7041-491,5829-4949-365,791394,791394,USD,1,This was a credit card statement repayment,2017-03-01,0
6LD536543G6224108S,101,103,2017-04-01,1640-7041-491,6161-0773-138,470246,470246,USD,1,This was a credit card statement repayment,2017-03-01,0
9ZE800508K0305622U,101,103,2017-05-01,1640-7041-491,7226-3782-765,418585,418585,USD,1,This was a credit card statement repayment,2017-03-01,0
7CF485147L8358532L,101,103,2017-06-01,1640-7041-491,1196-8648-189,227986,227986,USD,1,This was a credit card statement repayment,2017-03-01,0
2XN456470R8503174U,101,103,2017-07-01,1640-7041-491,8441-9106-593,520078,520078,USD,1,This was a credit card statement repayment,2017-03-01,0
6VK966313X1707428M,101,103,2017-08-01,1640-7041-491,4652-7758-422,456002,456002,USD,1,This was a credit card statement repayment,2017-03-01,0
8JL216180G5557182V,101,103,2017-09-01,1640-7041-491,7582-5237-047,140619,140619,USD,1,This was a credit card statement repayment,2017-03-01,0
6ZV363167S2561657V,101,103,2017-10-01,1640-7041-491,1404-6803-057,490679,490679,USD,1,This was a credit card statement repayment,2017-03-01,0
8NN563199N0574993P,101,103,2017-11-01,1640-7041-491,5431-8076-366,810056,810056,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
0OE482956J7951943H,101,103,2017-12-01,1640-7041-491,9975-0572-886,560815,560815,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
8YU467805K9583355H,101,103,2018-01-01,1640-7041-491,1826-3244-457,947202,947202,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
8EX694428J9186401K,101,103,2018-02-01,1640-7041-491,1373-4166-311,178311,178311,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
4GH271417Z6156102U,101,103,2018-03-01,1640-7041-491,8003-1464-483,5571,5571,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
3ZW571277I6818014K,101,103,2018-04-01,1640-7041-491,7703-6885-245,610337,610337,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
4JY005379L5068994N,101,103,2018-05-01,1640-7041-491,3794-5251-130,362922,362922,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
8AE054697R5916337V,101,103,2018-06-01,1640-7041-491,7651-8952-057,641450,641450,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
2ST179668D3337215X,101,104,2016-01-01,3809-1078-254,1256-1486-482,732297,732297,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
3MV274075K7472727U,101,104,2016-02-01,3809-1078-254,7849-0285-105,490414,490414,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
1XA914053R2353974Z,101,104,2016-03-01,3809-1078-254,1640-7041-491,617048,617048,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
0JI205173S8476401N,101,104,2016-04-01,3809-1078-254,3809-1078-254,385302,385302,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
2UT593270Y7002487Z,101,104,2016-05-01,3809-1078-254,1097-6582-590,418766,418766,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
8UZ606659A6187298X,101,104,2016-06-01,3809-1078-254,1760-1852-698,227592,227592,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
4YX182993L7884668R,101,104,2016-07-01,3809-1078-254,1970-4555-899,15175,15175,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
3FD582168X3132878W,101,104,2016-08-01,3809-1078-254,1838-5694-849,825172,825172,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
2YK562984C0377427X,101,104,2016-09-01,3809-1078-254,8876-8024-429,378967,378967,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
6MC989637W0893112V,101,104,2016-10-01,3809-1078-254,1624-0742-062,906627,906627,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
5WH597113J4166810X,101,104,2016-11-01,3809-1078-254,5814-8777-951,217230,217230,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
1MT791155B5902556L,101,104,2016-12-01,3809-1078-254,6988-3552-298,246296,246296,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
2YY849602A0316341P,101,104,2017-01-01,3809-1078-254,5950-8732-002,775087,775087,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
1EH700364I2936628V,101,104,2017-02-01,3809-1078-254,9328-2377-226,555504,555504,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
2IC383119W1274448W,101,104,2017-03-01,3809-1078-254,5829-4949-365,872339,872339,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
8EK518769C3969608Q,101,104,2017-04-01,3809-1078-254,6161-0773-138,974009,974009,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
5WK540382K3065162P,101,104,2017-05-01,3809-1078-254,7226-3782-765,303642,303642,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
9FN225406M9789533V,101,104,2017-06-01,3809-1078-254,1196-8648-189,497982,497982,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
1TX295790X4524122Z,101,104,2017-07-01,3809-1078-254,8441-9106-593,831389,831389,USD,1,This was a transfer from one account to a joint account,2017-03-01,0
9IO396519V6165965L,101,104,2017-08-01,3809-1078-254,4652-7758-422,130610,99263.6,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
0MN412461Q8883417B,101,104,2017-09-01,3809-1078-254,7582-5237-047,82231,62495.56,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
0MU160352V8783682C,101,104,2017-10-01,3809-1078-254,1404-6803-057,445511,338588.36,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
1PH096882Y2300467K,101,104,2017-11-01,3809-1078-254,5431-8076-366,378079,287340.04,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
8LW970024V8984415Y,101,104,2017-12-01,3809-1078-254,9975-0572-886,623679,473996.04,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
8SC943236M9235303D,101,104,2018-01-01,3809-1078-254,1826-3244-457,267681,203437.56,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
4JG272224W5034952T,101,104,2018-02-01,3809-1078-254,1373-4166-311,905791,688401.16,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
4LT785584Y2838626R,101,104,2018-03-01,3809-1078-254,8003-1464-483,104894,79719.44,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
9IL826374D5851634P,101,104,2018-04-01,3809-1078-254,7703-6885-245,10247,7787.72,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
5TA796886P1487260D,101,104,2018-05-01,3809-1078-254,3794-5251-130,955570,726233.2,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
8TL922830Z9397541X,101,104,2018-06-01,3809-1078-254,7651-8952-057,243913,185373.88,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
0FQ480789I1545955R,101,105,2016-01-01,1097-6582-590,1256-1486-482,480341,365059.16,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
9RG247247B0498066D,101,105,2016-02-01,1097-6582-590,7849-0285-105,901147,684871.72,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
3FE302586D1044891E,101,105,2016-03-01,1097-6582-590,1640-7041-491,210182,159738.32,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
1GV817535O6574128J,101,105,2016-04-01,1097-6582-590,3809-1078-254,677408,514830.08,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
1TV264097L0553656D,101,105,2016-05-01,1097-6582-590,1097-6582-590,601242,456943.92,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
5BS759685D5407454C,101,105,2016-06-01,1097-6582-590,1760-1852-698,482572,366754.72,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
2VJ811857P9767136Y,101,105,2016-07-01,1097-6582-590,1970-4555-899,751461,571110.36,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
8GB358264U4206187V,101,105,2016-08-01,1097-6582-590,1838-5694-849,403288,306498.88,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
1WK567616Q7406600Q,101,105,2016-09-01,1097-6582-590,8876-8024-429,247193,187866.68,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
5UJ960059N9368148U,101,105,2016-10-01,1097-6582-590,1624-0742-062,762193,579266.68,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
0RA058990O2475194D,101,105,2016-11-01,1097-6582-590,5814-8777-951,510926,388303.76,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
8NW481903Z2227062P,101,105,2016-12-01,1097-6582-590,6988-3552-298,844733,641997.08,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
9SB415580B1170701O,101,105,2017-01-01,1097-6582-590,5950-8732-002,642197,488069.72,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
1PE759830F0443445U,101,105,2017-02-01,1097-6582-590,9328-2377-226,324437,246572.12,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
5HU933228L5182439Q,101,105,2017-03-01,1097-6582-590,5829-4949-365,321546,244374.96,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
8JT106658A6453853Y,101,105,2017-04-01,1097-6582-590,6161-0773-138,63699,48411.24,CAD,0.76,A family member from outside US made this transfer to his US resident kin,2017-03-01,0
6KM266725U3325170A,101,105,2017-05-01,1097-6582-590,7226-3782-765,560748,689720.04,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
2YW978136K6139478A,101,105,2017-06-01,1097-6582-590,1196-8648-189,809037,995115.51,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
2ZH246879P8351729G,101,105,2017-07-01,1097-6582-590,8441-9106-593,180045,221455.35,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
7EB385163T0989544E,101,105,2017-08-01,1097-6582-590,4652-7758-422,941336,1157843.28,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
3TR345515F6617009V,101,105,2017-09-01,1097-6582-590,7582-5237-047,276645,340273.35,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
7XE113042Z0434529F,101,105,2017-10-01,1097-6582-590,1404-6803-057,809920,996201.6,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
5GK900185C7571358L,101,105,2017-11-01,1097-6582-590,5431-8076-366,565669,695772.87,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
6JF847122H3649139H,101,105,2017-12-01,1097-6582-590,9975-0572-886,225932,277896.36,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
8SL729828O2895618N,101,105,2018-01-01,1097-6582-590,1826-3244-457,963572,1185193.56,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
8WD428328X8552033C,101,105,2018-02-01,1097-6582-590,1373-4166-311,934859,1149876.57,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
3YY294392Y9136672L,101,105,2018-03-01,1097-6582-590,8003-1464-483,852707,1048829.61,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
3LM953406L9051261Q,101,105,2018-04-01,1097-6582-590,7703-6885-245,597820,735318.6,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
5AS516805I0953976W,101,105,2018-05-01,1097-6582-590,3794-5251-130,72856,89612.88,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
4MK688892Q3094060R,101,105,2018-06-01,1097-6582-590,7651-8952-057,873571,1074492.33,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
7QA452557M3360600N,101,106,2016-01-01,1760-1852-698,1256-1486-482,985861,1212609.03,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
1NA525029C0284675F,101,106,2016-02-01,1760-1852-698,7849-0285-105,698856,859592.88,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
4QU628484Y9273327P,101,106,2016-03-01,1760-1852-698,1640-7041-491,536171,659490.33,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
2DB506845C8155336G,101,106,2016-04-01,1760-1852-698,3809-1078-254,785110,965685.3,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
9PL563974M0395652B,101,106,2016-05-01,1760-1852-698,1097-6582-590,801935,986380.05,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
0HL536853N1910862S,101,106,2016-06-01,1760-1852-698,1760-1852-698,595655,732655.65,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
0AF613004O6126657P,101,106,2016-07-01,1760-1852-698,1970-4555-899,208679,256675.17,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
6DH405591L1151668S,101,106,2016-08-01,1760-1852-698,1838-5694-849,282658,347669.34,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
0XN573464S2292800L,101,106,2016-09-01,1760-1852-698,8876-8024-429,399648,491567.04,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
0HA166501E5219029Y,101,106,2016-10-01,1760-1852-698,1624-0742-062,922906,1135174.38,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
8EK219095H2002611W,101,106,2016-11-01,1760-1852-698,5814-8777-951,956551,1176557.73,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
1QC731248Y3293827R,101,106,2016-12-01,1760-1852-698,6988-3552-298,287176,353226.48,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
3JY434290Y8255683I,101,106,2017-01-01,1760-1852-698,5950-8732-002,122869,151128.87,GBP,1.23,This was a transaction made to a freelancer,2017-03-01,0
5WV907206U3007226E,101,106,2017-02-01,1760-1852-698,9328-2377-226,403689,88811.58,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
5UN693445W4500044R,101,106,2017-03-01,1760-1852-698,5829-4949-365,526911,115920.42,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
8XV844131C3013867E,101,106,2017-04-01,1760-1852-698,6161-0773-138,830977,182814.94,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
8ZP239090O5078817H,101,106,2017-05-01,1760-1852-698,7226-3782-765,627950,138149,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
0VL304676V5016170O,101,106,2017-06-01,1760-1852-698,1196-8648-189,512372,112721.84,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
6OW176315G8374260B,101,106,2017-07-01,1760-1852-698,8441-9106-593,889425,195673.5,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
8XT991548J6111875T,101,106,2017-08-01,1760-1852-698,4652-7758-422,706332,155393.04,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
5SQ542179I8424289E,101,106,2017-09-01,1760-1852-698,7582-5237-047,97034,21347.48,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
1WH271591G1836134L,101,106,2017-10-01,1760-1852-698,1404-6803-057,956707,210475.54,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
3YX283870V6540334P,101,106,2017-11-01,1760-1852-698,5431-8076-366,457287,100603.14,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
5UU203823S9094591M,101,106,2017-12-01,1760-1852-698,9975-0572-886,502658,110584.76,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
1EO447880H7551009X,101,106,2018-01-01,1760-1852-698,1826-3244-457,263370,57941.4,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
6VB981892V9795870E,101,106,2018-02-01,1760-1852-698,1373-4166-311,980365,215680.3,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
4IQ777145F5878017X,101,106,2018-03-01,1760-1852-698,8003-1464-483,989542,217699.24,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
9OX343868P0853637I,101,106,2018-04-01,1760-1852-698,7703-6885-245,461391,101506.02,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
5TM484908L3841624V,101,106,2018-05-01,1760-1852-698,3794-5251-130,566179,124559.38,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
3BS953220F2434227Q,101,106,2018-06-01,1760-1852-698,7651-8952-057,924170,203317.4,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
0QN547392N8581748G,101,107,2016-01-01,1970-4555-899,1256-1486-482,575319,126570.18,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
5CE023061P9360821S,101,107,2016-02-01,1970-4555-899,7849-0285-105,41012,9022.64,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
4OV782749A0840699I,101,107,2016-03-01,1970-4555-899,1640-7041-491,632577,139166.94,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
6VG237334H3004010O,101,107,2016-04-01,1970-4555-899,3809-1078-254,754343,165955.46,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
6WV727451G8426567E,101,107,2016-05-01,1970-4555-899,1097-6582-590,972301,213906.22,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
5GN058613Y7327513W,101,107,2016-06-01,1970-4555-899,1760-1852-698,582396,128127.12,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
8JO436070E0117650Y,101,107,2016-07-01,1970-4555-899,1970-4555-899,360633,79339.26,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
3OX999071I8549794M,101,107,2016-08-01,1970-4555-899,1838-5694-849,245968,54112.96,MYR,0.22,This installment was made to pay off debt,2017-03-01,0
