account_id,account_type_id,account_status_id,product_type_id,customer_id,pin_number,nationality,primary_iden_doc,primary_iden_doc_id,secondary_iden_doc,secondary_iden_doc_id,account_open_date,account_number,opening_balance,current_balance,overdue_balance,overdue_date,currency_code,interest_type,interest_rate,load_date,load_id
126,102,102,105,67548412,2934,Malaysian,PASSPORT,S1199960A,DL,911221103125 MAL,7/29/10,1373-4166-311,18000,16777,,,USD,Simple,0.35,2017-03-01,0
127,102,102,104,83212093,8947,American,SSN,123-57-9492,DL,R458-69-1733,6/28/10,8003-1464-483,12000,9900,,,EUR,Compound,0.25,2017-03-01,0
128,101,102,102,57771630,4881,American,SSN,102-54-2183,PASSPORT,378590002,5/27/10,7703-6885-245,16500,12350,,,GBP,Simple,0.55,2017-03-01,0
129,101,101,101,10000880,7032,American,SSN,103-87-0867,DL,R347-69-1733,4/26/10,3794-5251-130,18500,17924,,,GBP,Simple,0.2,2017-03-01,0
130,102,101,102,50384712,3399,American,SSN,104-87-0807,PASSPORT,378599991,3/25/10,7651-8952-057,12500,11908,,,GBP,Compound,0.3,2017-03-01,0
131,102,101,103,19389589,4792,American,SSN,105-80-0333,DL,T347-69-1733,2/24/10,7377-1108-507,19000,7999,,,EUR,Simple,0.5,2017-03-01,0
132,101,101,104,47488870,2579,American,SSN,195-66-0921,PASSPORT,267499991,1/23/10,8300-1646-706,21000,13090,,,CAD,Compound,0.45,2017-03-01,0
133,102,101,105,28984905,1295,British,PASSPORT,J-725-3835,PRN,777-723-699,8/30/16,0764-5180-919,23000,20022,,,CAD,Simple,0.5,2017-03-01,0
134,101,102,101,77727205,8947,Canadian,DL,D6101-10522-60905,PASSPORT,KBC-123-91-7940,8/29/16,6454-6463-264,27000,25599,,,GBP,Simple,0.44,2017-03-01,0
135,102,102,102,12928233,4089,Canadian,PASSPORT,DAC-123-91-7940,DL,D3841-10122-60905,8/28/16,0844-7476-094,29000,18699,,,EUR,Compound,0.6,2017-03-01,0
136,101,102,103,12345678,2926,Canadian,DL,H8940-10522-60905,PASSPORT,DGC-123-91-7948,8/27/16,3564-5973-758,19500,12580,,,MYR,Simple,0.35,2017-03-01,0
137,102,101,101,23456789,5752,Canadian,PASSPORT,DAC-456-91-7640,PRN,716-713-617,9/27/16,6677-0065-081,21500,16345,,,CAD,Compound,0.25,2017-03-01,0
138,101,101,101,34567890,1524,American,SSN,123-50-0492,DL,R058-68-1723,9/29/16,1721-4134-019,23500,17899,,,CAD,Simple,0.55,2017-03-01,0
139,102,102,103,27849400,2821,American,SSN,102-12-2183,PASSPORT,378594561,9/30/16,6384-7827-597,27500,13980,,,USD,Simple,0.2,2017-03-01,0
140,102,101,102,87826531,4543,German,SSN,ADFG-1849,DL,B072SSE2155,9/19/16,9751-3893-307,29500,12999,,,GBP,Compound,0.3,2017-03-01,0
141,102,101,104,55889832,2664,British,DL,TERESA2940IFD09,PASSPORT,L-625-3835,9/18/16,2661-2798-739,31000,11836,,,GBP,Simple,0.5,2017-03-01,0
142,101,102,105,93884011,5221,British,PASSPORT,J-503-3835,DL,CELESTE2940IFK09,9/17/16,8873-0393-292,31500,26567,,,GBP,Compound,0.45,2017-03-01,0
143,101,102,105,74236019,3195,German,PASSPORT,C748TXWU3,DL,B961RRE0266,11/8/07,0658-0776-898,31550,25120,,,EUR,Simple,0.5,2017-03-01,0
144,101,102,104,91438470,5225,Malaysian,DL,911221146175 MAL,PASSPORT,S2299960B,12/30/08,7824-7932-594,33000,20001,,,MYR,Simple,0.44,2017-03-01,0
145,101,101,101,98144860,8901,German,SSN,AHFK-3894,PRN,796-703-823,1/1/08,9718-6001-352,33500,27005,,,USD,Compound,0.6,2017-03-01,0
146,101,101,102,16547378,1940,American,SSN,133-87-0867,DL,U347-69-1733,2/14/08,0325-7292-052,33550,23017,,,MYR,Simple,0.35,2017-03-01,0
147,102,101,103,98860230,6161,American,SSN,103-87-0221,DL,X247-69-1733,5/25/08,8544-1329-511,43000,21483,,,USD,Compound,0.25,2017-03-01,0
148,102,101,103,18388909,6509,American,SSN,988-87-0807,PASSPORT,178599940,8/21/06,5410-2177-912,21400,19239,,,MYR,Simple,0.55,2017-03-01,0
149,102,102,104,76450899,3388,American,SSN,987-80-0333,DL,T397-67-1033,9/23/05,5788-8749-683,19300,12940,,,EUR,Simple,0.2,2017-03-01,0
150,102,101,105,40055134,3040,American,SSN,136-63-0921,DL,M346-69-1733,1/20/00,4778-7571-461,18700,9836,,,GBP,Compound,0.3,2017-03-01,0
